STRUCTURE,STRUCTURE_ID,freq,hlthcare,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BE,2016,28.61,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BE,2017,26.60,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BE,2018,26.47,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BE,2019,25.51,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BE,2020,19.94,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BE,2021,20.88,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BG,2019,81.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BG,2020,77.77,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,BG,2021,76.74,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2010,97.66,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2011,99.99,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2012,93.63,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2013,97.09,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2014,96.52,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2015,95.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2016,95.39,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2017,93.88,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2018,92.05,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2019,91.08,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2020,90.77,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CH,2021,90.84,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CY,2019,73.20,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CY,2020,69.20,bd
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,CY,2021,64.70,bd
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2000,102.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2001,104.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2002,99.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2003,100.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2004,95.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2005,94.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2006,95.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2007,96.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2008,97.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2009,97.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2010,96.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2011,96.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2012,97.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2013,96.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2014,97.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2015,97.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2016,97.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2017,97.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2018,96.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2019,95.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2020,85.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,DE,2021,86.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2013,88.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2014,88.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2015,89.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2016,91.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2017,90.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2018,91.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2019,94.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2020,69.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,EE,2021,68.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2010,80.36,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2011,80.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2012,82.28,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2013,81.11,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2014,79.13,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2015,81.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2016,78.49,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2017,78.76,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2018,81.47,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2019,79.78,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2020,73.64,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ES,2021,75.87,p
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,FI,2018,100,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,FI,2019,100,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,FI,2020,100,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,FI,2021,100,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2009,94.68,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2010,75.66,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2011,87.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2012,101.41,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2013,82.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2014,72.13,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2015,84.98,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2016,96.25,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2017,94.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2018,98.19,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2019,102.51,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2020,73.18,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HR,2021,88.63,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2010,75.47,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2011,75.87,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2012,74.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2013,72.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2014,72.20,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2015,70.53,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2016,69.41,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2017,65.73,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2018,64.31,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2019,60.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2020,49.98,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,HU,2021,49.58,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2015,79.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2016,78.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2017,76.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2018,76.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2019,77.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2020,71.30,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IE,2021,61.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2000,83.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2001,87.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2002,88.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2003,87.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2004,85.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2005,87.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2006,85.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2007,85.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2008,88.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2009,88.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2010,86.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2011,85.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2012,87.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2013,83.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2014,84.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2015,86.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2016,84.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2017,84.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2018,84.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2019,84.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2020,74.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,IT,2021,78.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LI,2019,43.78,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LI,2020,52.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LI,2021,47.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2013,67.87,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2014,69.14,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2015,71.43,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2016,72.27,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2017,75.51,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2018,78.75,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2019,82.91,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2020,70.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,LT,2021,58.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ME,2018,57.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ME,2019,52.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,ME,2020,30.86,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2015,63.10,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2016,64.80,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2017,60.00,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2018,61.70,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2019,63.10,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2020,54.40,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NL,2021,56.60,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2002,87.89,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2003,87.18,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2004,84.60,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2005,85.87,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2006,85.43,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2007,83.94,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2008,84.54,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2009,83.74,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2010,83.59,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2011,82.77,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2012,83.97,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2013,82.43,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2014,81.01,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2015,83.54,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2016,85.35,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2017,85.21,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2018,84.46,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2019,83.96,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2020,78.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,NO,2021,82.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PL,2017,84.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PL,2018,83.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PL,2019,85.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PL,2020,73.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PL,2021,83.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2000,85.23,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2001,85.12,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2002,84.76,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2003,82.96,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2004,87.62,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2005,87.15,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2006,89.84,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2007,90.92,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2008,90.38,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2009,90.97,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2010,93.08,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2011,94.57,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2012,97.08,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2013,94.54,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2014,97.11,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2015,94.99,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2016,95.32,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2017,96.80,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2018,98.05,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2019,103.02,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2020,97.71,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,PT,2021,97.91,dp
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2014,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2015,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2016,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2017,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2018,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2019,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2020,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,RS,2021,100,d
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2011,56.96,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2012,57.41,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2013,57.64,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2014,57.34,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2015,55.66,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2016,56.32,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2017,55.96,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2018,56.77,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2019,56.93,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2020,43.08,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SI,2021,44.72,e
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2018,80.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2019,80.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2020,70.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,SK,2021,70.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2002,79.40,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2003,83.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2004,86.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2005,86.10,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2006,88.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2007,80.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2008,67.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2009,78.30,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2010,77.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2011,83.90,b
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2012,77.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2013,84.90,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2014,84.80,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2015,82.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2016,81.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2017,80.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2018,83.60,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2019,79.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2020,59.50,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,PSY,PC,TR,2021,58.70,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2016,76.86,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2017,76.86,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2018,77.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2019,76.28,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2020,65.55,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BE,2021,67.98,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BG,2019,63.00,
dataflow,ESTAT:HLTH_CO_BEDOC(1.0),A,SOM,PC,BG,2020,52.45,
