STRUCTURE,STRUCTURE_ID,freq,sex,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,BE,2008,84,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,BG,2008,89.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,CY,2008,92.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,CZ,2008,76.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,EL,2008,91.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,ES,2008,92.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,FR,2008,72.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,HU,2008,85.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,LV,2008,75.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,MT,2008,95.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,PL,2008,94.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,RO,2008,98.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,SI,2008,90.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,SK,2008,79.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,TR,2008,96.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,BE,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,BG,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,CY,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,CZ,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,ES,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,FR,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,HU,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,LV,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,MT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,SI,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,SK,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,TR,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,BE,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,BG,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,CY,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,CZ,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,EL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,ES,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,FR,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,HU,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,LV,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,MT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,PL,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,SI,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,SK,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,TR,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,BE,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,BG,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,CY,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,CZ,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,EL,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,ES,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,FR,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,HU,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,LV,2008,12.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,MT,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,PL,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,SI,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,SK,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,TR,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,BE,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,BG,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,CY,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,CZ,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,EL,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,ES,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,FR,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,HU,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,LV,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,MT,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,SI,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,SK,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_LT1,TR,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,BE,2008,84.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,BG,2008,85.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,CY,2008,91.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,CZ,2008,65,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,DE,2008,17.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,EL,2008,91.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,ES,2008,93.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,FR,2008,70.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,HU,2008,85.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,LV,2008,76.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,MT,2008,93.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,PL,2008,89.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,RO,2008,96.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,SI,2008,88.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,SK,2008,69.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,NEV,TR,2008,94.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,BE,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,BG,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,CY,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,CZ,2008,12.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,DE,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,ES,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,FR,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,HU,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,LV,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,PL,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,RO,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,SI,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,SK,2008,9.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y1-2,TR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,BE,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,BG,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,CY,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,CZ,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,ES,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,FR,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,HU,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,LV,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,MT,2008,1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,RO,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,SI,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,SK,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y2-3,TR,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,BE,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,BG,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,CY,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,CZ,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,DE,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,EL,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,ES,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,FR,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,HU,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,LV,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,MT,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,PL,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,SI,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_GT3,SK,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,BE,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,BG,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,CY,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,CZ,2008,14.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,DE,2008,39.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,EL,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,ES,2008,1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,FR,2008,13.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,HU,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,LV,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,MT,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,PL,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,SI,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,SK,2008,11,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED3_4,Y_LT1,TR,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,BE,2008,83.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,BG,2008,79.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,CY,2008,89.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,CZ,2008,39.6,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,EL,2008,90.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,ES,2008,91.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,FR,2008,71.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,HU,2008,81.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,LV,2008,67,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,MT,2008,93.3,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,PL,2008,87,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,RO,2008,95.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,SI,2008,81.5,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,SK,2008,71.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,NEV,TR,2008,94.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,BE,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,BG,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,CY,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,CZ,2008,1.6,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,DE,2008,21.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,EL,2008,1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,ES,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,FR,2008,9.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,HU,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,LV,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,PL,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,RO,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,SI,2008,4.0,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y1-2,SK,2008,11.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,BE,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,BG,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,CY,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,CZ,2008,3,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,EL,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,ES,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,FR,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,HU,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,LV,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,PL,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,RO,2008,1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y2-3,SK,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,BE,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,BG,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,CY,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,CZ,2008,15.4,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,EL,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,ES,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,FR,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,HU,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,LV,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,MT,2008,2.2,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,PL,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,RO,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,SI,2008,9.0,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,SK,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_GT3,TR,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,BE,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,BG,2008,9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,CY,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,CZ,2008,40.4,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,DE,2008,37.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,EL,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,ES,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,FR,2008,11.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,HU,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,LV,2008,10,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,MT,2008,4.4,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,PL,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,RO,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,SI,2008,5.6,u
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,SK,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED5_6,Y_LT1,TR,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,TOTAL,NEV,BE,2008,84,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,TOTAL,NEV,BG,2008,85.6,
